	S136	S36	S17	S115	S71	S199	S50	S213	S15	S177	S207	S6	S61	S152	S127	S96	S93	S123	S157	S124	S212	S148	S156	S33	S26	S18	S22	S37	S137	S183	S186	S179	S73	S84	S29	S192	S28	S40	S113	S57	S24	S146	S89	S112	S87	S106	S154	S85	S134	S54	S117	S173	S160	S8	S88	S165	S126	S168	S200	S141	S62	S109	S4	S158	S91	S39	S94	S215	S121	S80	S203	S67	S122	S12	S149	S217	S38	S120	S171	S99	S105	S153	S187	S214
S136	0.0	0.605215585666	0.703655929868	0.516526861396	0.43080790291599996	0.503663824293	0.508925683548	0.577489145899	0.728230901919	0.553338848126	0.530812797242	0.673878838645	0.440491382084	0.622462169548	0.496334472641	0.550457991331	0.619002290419	0.545527426326	0.819860685539	0.529514969881	0.603068825498	0.6292096956669999	0.8412332572969999	0.599074195529	0.769997877938	0.732289865056	0.758075563141	0.776708906816	0.434320165889	0.484334856851	0.584832491162	0.533192392823	0.46425432489699997	0.550476910588	0.75442162288	0.559484743702	0.626658420587	0.6269513766579999	0.549401105295	0.5287363660459999	0.6816664170119999	0.545039297754	0.577713756099	0.721425684721	0.548101014613	0.681984508566	0.722294895229	0.558125892259	0.5048834816800001	0.563720336221	0.553149635586	0.680200238709	0.594727144691	0.7002342780609999	0.552324621488	0.5741907761630001	0.570712643239	0.555462719717	0.546718388973	0.550115512457	0.434783125286	0.668840260902	0.640951917809	0.65615805907	0.612975618019	0.687016494472	0.5157926152210001	0.567648911646	0.526410228821	0.45930642759499996	0.532288800498	0.42041027318199997	0.551579934192	0.736955751488	0.609229424722	0.590181209013	0.6490957750649999	0.529729170189	0.600478335583	0.619636737948	0.53519069063	0.6479907338650001	0.586896836152	0.583265251106
S36	0.605215585666	0.0	0.612565546979	0.534041216396	0.588413604643	0.522937024768	0.534188351787	0.584704653953	0.647161560869	0.485286858419	0.5235900256189999	0.635877165618	0.584058241495	0.573796289097	0.562719681136	0.5495873308370001	0.540378576015	0.604279744351	0.789613813876	0.505435636209	0.603430093933	0.581039994831	0.828718451403	0.5069892615899999	0.715960039868	0.6500087755749999	0.708474764471	0.7396217137209999	0.612662473751	0.547424515128	0.480975375537	0.525419143301	0.574635662847	0.541990670009	0.690779127834	0.517025101222	0.598640703494	0.540039229043	0.558851090347	0.525300443938	0.596512834428	0.515366065349	0.529513750824	0.646973753342	0.542482335849	0.578334094516	0.636706766764	0.536903829208	0.570558913289	0.5616070907840001	0.538334612216	0.632423955092	0.54283877658	0.609718134646	0.537867045071	0.5583064128490001	0.5207279941049999	0.518529661058	0.512714947708	0.550725744668	0.579223888978	0.551936897123	0.553884758015	0.555335695624	0.51928548998	0.578340132136	0.5111734501699999	0.5721120803059999	0.5875654624100001	0.559793533682	0.543897457207	0.602201598803	0.55090043823	0.668667740986	0.5674774828570001	0.557944883756	0.527627437057	0.548871690454	0.49952550474600005	0.529581035748	0.538102648892	0.5805477820430001	0.5233322592840001	0.573066346464
S17	0.703655929868	0.612565546979	0.0	0.668943393679	0.6912082114229999	0.642861851684	0.657257673815	0.587878327997	0.454877574213	0.626105518452	0.647660033852	0.5075752496589999	0.6791933178759999	0.5732378342050001	0.659844308156	0.62564781696	0.508671178081	0.657753760551	0.653643665211	0.635243095009	0.603189331977	0.560500575573	0.7231544406199999	0.552851612065	0.5401178063840001	0.47826974677	0.5425199168289999	0.57472622722	0.691387609921	0.666417669066	0.6010135557940001	0.593558883135	0.661051302807	0.650633216654	0.508835388641	0.615832162469	0.535767817654	0.554189738613	0.6250403042830001	0.65306786593	0.504505170312	0.6287912026160001	0.661205288198	0.46118317104400003	0.6712448457699999	0.461217481148	0.48437179400700003	0.6739223392739999	0.621271174535	0.6861395054880001	0.603526712984	0.494133617174	0.616039132565	0.46101773769500004	0.674779908037	0.628359459083	0.6513868757010001	0.619065146801	0.631311242181	0.648160123975	0.680012519112	0.505665262614	0.5211283378670001	0.540090658361	0.537878552174	0.427396699181	0.654511673147	0.638746672231	0.633303434	0.6487836913989999	0.660482251967	0.704366146887	0.634262775248	0.523562228258	0.6271150283420001	0.5998272370350001	0.49398222356000004	0.675753342888	0.580107736944	0.54573673497	0.627991331776	0.514124419039	0.575296837327	0.598758151905
S115	0.516526861396	0.534041216396	0.668943393679	0.0	0.508967700482	0.483776256579	0.475581447373	0.584196055865	0.692687836614	0.46812172151299997	0.477460833946	0.662576974366	0.5084545826519999	0.594617728599	0.524275080014	0.499016288534	0.580880858422	0.582542549112	0.8078822162720001	0.48080475587	0.604009890046	0.608635891704	0.838583570806	0.521704063527	0.7459004743909999	0.6957133303659999	0.736257400978	0.7541788677619999	0.5360065959579999	0.451050173948	0.476905366972	0.481185720519	0.517798882638	0.522242694075	0.723067856107	0.49979473717399997	0.608932981962	0.585014689917	0.530316069192	0.503776461064	0.643627141865	0.48430629689800003	0.529668505319	0.6927561461849999	0.485155721646	0.62524856367	0.680396457966	0.507956013733	0.535582154365	0.54680914607	0.525646554614	0.6501537278980001	0.548017695228	0.667971866574	0.486508122362	0.539260195943	0.487415037641	0.515956284542	0.493085511505	0.531387611478	0.531793414974	0.6095764578399999	0.604247865338	0.604985586145	0.546905221165	0.641998521153	0.514342950556	0.5561916776829999	0.561328543195	0.5171351562650001	0.505234035255	0.528883327369	0.531164664955	0.7031605222930001	0.5749960392769999	0.558862976453	0.5915649794650001	0.492905466584	0.514324062804	0.569854228262	0.490062436906	0.621078266666	0.537445955988	0.577162874245
S71	0.43080790291599996	0.588413604643	0.6912082114229999	0.508967700482	0.0	0.487028936449	0.488036394072	0.557591593879	0.7154011845899999	0.520615971422	0.513791180136	0.658499298964	0.408278238509	0.608825486179	0.507568244172	0.5301917756310001	0.610777351254	0.536977662583	0.806824122209	0.519613308978	0.594596482378	0.6032381666759999	0.829927650759	0.590474898972	0.7533748881640001	0.723503541004	0.74351412118	0.769189644935	0.468548633461	0.475180101229	0.564915488789	0.528815751944	0.421457428185	0.543852979405	0.7382635867820001	0.532358946157	0.612071843442	0.619520738747	0.536130538174	0.504872742041	0.662205361667	0.520193718204	0.565086192067	0.714318394022	0.5316919931399999	0.661596313597	0.708104279198	0.545364852983	0.5118850320489999	0.5506090832899999	0.531812204255	0.6787744324799999	0.562349114956	0.685517623782	0.540674213587	0.549742695883	0.548256820567	0.523343743694	0.520609850043	0.532390812986	0.419890069498	0.6590193029479999	0.6206092541229999	0.629529049872	0.59323452508	0.677163273807	0.495547176638	0.551081638847	0.54641070055	0.429003653727	0.515852159684	0.389344927738	0.5447341814609999	0.723963480008	0.590756306099	0.561995957716	0.6413790062610001	0.52935148297	0.5748636078589999	0.604035822253	0.51587204277	0.632698786918	0.575639905599	0.566036433405
S199	0.503663824293	0.522937024768	0.642861851684	0.483776256579	0.487028936449	0.0	0.44343256871500003	0.535313354009	0.672216747105	0.45692002937200005	0.43061100798199997	0.636732081322	0.479650982746	0.565424085705	0.508982408926	0.49466226890500004	0.5577455535270001	0.550945385047	0.80093551564	0.440083495823	0.554851179498	0.562153572817	0.831007395366	0.512269281436	0.7285738448960001	0.691284088892	0.714504298983	0.7559420521410001	0.512044053522	0.468048936165	0.48529888270099997	0.47155447247599996	0.490798250105	0.472276206474	0.706237622203	0.44044279912699996	0.585506285254	0.564544177704	0.509905386669	0.42655548764300005	0.603026239183	0.434407669018	0.468143716368	0.680492255719	0.48061840768200004	0.609528985612	0.659391750449	0.477297571233	0.5150280134	0.513158523305	0.502621692576	0.636935285741	0.526659163067	0.644719574345	0.467187592744	0.523807885285	0.45020846833899997	0.47813989270499996	0.444503228284	0.47802763168799994	0.49054847405100005	0.600275621353	0.560468083335	0.552119208244	0.534719174458	0.6146376563889999	0.5139587125940001	0.515079123521	0.533804986785	0.47351280971299997	0.442587018667	0.515974053438	0.530853163034	0.6984639089	0.548899852011	0.521726706464	0.573691248051	0.45679446402199997	0.48756617620399995	0.539817031193	0.491143487277	0.5729106934229999	0.526345733568	0.541798880059
S50	0.508925683548	0.534188351787	0.657257673815	0.475581447373	0.488036394072	0.44343256871500003	0.0	0.5447641342239999	0.683275189892	0.46965175522200003	0.403542296589	0.6407014795229999	0.49137092433300006	0.57064061812	0.48042155477	0.47727586403899996	0.569604792673	0.567712922761	0.800542895518	0.406059586805	0.5698663383070001	0.5763317708219999	0.822831770558	0.5266076686469999	0.738514045134	0.698970574253	0.7184224684720001	0.756687219421	0.514146401473	0.463570384305	0.492204078517	0.492549636635	0.49902525454700003	0.452605285088	0.7144710009890001	0.463441441088	0.589410373533	0.5692259350559999	0.490915293402	0.42507743657499997	0.616165003086	0.43894965857699997	0.465682508442	0.683623427162	0.471301931438	0.615199320957	0.656816735686	0.47226718426200004	0.535971241922	0.49740383919299996	0.504634001361	0.652530201065	0.532699490768	0.6548023594969999	0.44822862027599997	0.501838881104	0.435196061913	0.464536907205	0.42981033291000004	0.44434248166	0.5121475700320001	0.604677386494	0.5854561815079999	0.574488014828	0.542964603952	0.621637980483	0.49654783912100003	0.511280305426	0.552712385441	0.499581030107	0.433285281362	0.506273872821	0.48486956875500004	0.7000485524	0.548853561588	0.529231340224	0.575280147558	0.430793447085	0.494624501422	0.560273444924	0.47346578445500004	0.592473437608	0.538723515948	0.5488985557930001
S213	0.577489145899	0.584704653953	0.587878327997	0.584196055865	0.557591593879	0.535313354009	0.5447641342239999	0.0	0.5854677043209999	0.538737366218	0.563500560646	0.503072728117	0.5388149602160001	0.469097511584	0.5095476251359999	0.505261620346	0.490730917809	0.577694304549	0.750766052079	0.5468594634749999	0.42542522222199997	0.445697447861	0.7865633330320001	0.514649338281	0.673782978016	0.627657207326	0.637945968132	0.707408017897	0.581464908873	0.572493455359	0.533068369561	0.48950082976400006	0.514579933605	0.588097767988	0.644703645798	0.520492540988	0.472105542937	0.512970948397	0.5000567763570001	0.567084304113	0.502593474181	0.50021962409	0.610308369394	0.621804433683	0.6228456082680001	0.551480839044	0.566129023573	0.630209215714	0.522583453823	0.595136617853	0.480724992157	0.593620449723	0.462055344134	0.580651682588	0.617246276328	0.496562335611	0.576768732061	0.475041209841	0.5127043324639999	0.5481120570579999	0.546572542212	0.5588809769849999	0.489298348419	0.496246428749	0.477565689508	0.555256099626	0.543534476105	0.489337441355	0.5536397636689999	0.50464945088	0.598470410719	0.585895414301	0.51555912471	0.6523712418550001	0.502931443694	0.42331149344400004	0.532736686067	0.609105987533	0.509344079982	0.48889248268700003	0.525737862796	0.46313683770400005	0.49143249400399996	0.40760184615199996
S15	0.728230901919	0.647161560869	0.454877574213	0.692687836614	0.7154011845899999	0.672216747105	0.683275189892	0.5854677043209999	0.0	0.659720152558	0.67994558189	0.487843876433	0.698986926423	0.582095023239	0.666578332488	0.6584219302009999	0.52996031377	0.677899421237	0.645566831988	0.6729769647149999	0.5860630985849999	0.552681541171	0.710694195458	0.597180552467	0.531993308199	0.47235349313999997	0.5010799864559999	0.563847314749	0.723539193045	0.69928121264	0.638834764735	0.635234095278	0.6744028915510001	0.6752040626019999	0.481521097888	0.647646530405	0.522032308436	0.5513079443869999	0.63237749105	0.684403291778	0.49241775054	0.643480745078	0.6852796579899999	0.461611384658	0.705274133801	0.47003208447899997	0.445551339486	0.707407373215	0.642356337371	0.6895481502840001	0.627931239729	0.517024850095	0.624224663855	0.45882997611500004	0.7029430470739999	0.64264668126	0.6870103072020001	0.640994369788	0.656950875326	0.658602070833	0.695321679576	0.5030394808399999	0.519656215721	0.55224508496	0.564765081416	0.444811302679	0.675923030537	0.633732798347	0.654342166918	0.661729679599	0.6974633807709999	0.7255111413199999	0.64654808789	0.526802552642	0.642641281776	0.603460610363	0.508807044009	0.717210345393	0.619680361817	0.570636555843	0.659825974739	0.516679491479	0.5774541770080001	0.5955579553729999
S177	0.553338848126	0.485286858419	0.626105518452	0.46812172151299997	0.520615971422	0.45692002937200005	0.46965175522200003	0.538737366218	0.659720152558	0.0	0.452775842024	0.626168386109	0.510476718096	0.5343519237169999	0.509558629894	0.45705566108499995	0.5366003223	0.591046969825	0.800581284282	0.45039340400300004	0.5580561008280001	0.5584142167130001	0.833079856717	0.47412505960699997	0.7343763878849999	0.670237092934	0.71734391333	0.753655960914	0.542120422411	0.45832295523100003	0.436179727003	0.46984149930200003	0.494735829257	0.489637675732	0.712471589544	0.46387263330899997	0.593035343009	0.5375390281710001	0.48134090382	0.470848485299	0.583762278692	0.440345161497	0.499290695857	0.663694816507	0.511086337288	0.594157250997	0.647318480023	0.511836876956	0.549713798712	0.526444240741	0.482587036742	0.638439764045	0.496432941056	0.636134104103	0.504495299411	0.48557061585100003	0.461348424036	0.45782352004199994	0.45234900969400005	0.49960544777599997	0.526340644511	0.580312158504	0.5574724635320001	0.5310707072290001	0.505399667635	0.599390987897	0.487007801713	0.48951898207500005	0.577552017105	0.508591764339	0.498910006521	0.550478472434	0.527234511515	0.6917063213079999	0.516462114274	0.508218597147	0.544407189396	0.498081736409	0.44357209386600005	0.5122055594680001	0.466682195595	0.560760681312	0.502210938369	0.5322996018289999
