PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
S136	1.83	-1.346	-1.726	0.468	-0.529	0.09	-0.529	-0.087	0.348	-0.355	0.182	-0.072	0.243	0.194	0.074	0.869	-0.218	0.305	0.178	0.313	-0.129	-0.042	-0.417	-0.997	0.024	-0.216	-0.272	-0.361	0.32	0.008	0.062	-0.571	0.111	0.427	0.203	0.179	-0.094	0.302	-0.335	-0.05	0.383	0.018	-0.361	-0.109	0.252	-0.399	-0.144	0.345	-0.281	0.378
S36	0.616	0.04	1.033	0.687	0.598	0.517	0.135	-1.566	-1.094	0.165	0.454	0.456	-1.083	0.211	-0.578	0.218	-0.628	-0.089	0.859	-0.537	-0.786	-0.508	0.269	-0.058	0.012	0.739	-0.007	-0.288	-0.031	0.17	-0.275	0.039	-0.167	0.728	-0.064	-0.481	-0.548	-0.101	-0.302	0.099	0.261	0.053	0.179	0.089	0.257	-0.267	0.14	0.191	-0.007	-0.025
S17	-2.439	0.06	0.59	0.946	-0.488	0.262	-0.618	-0.223	0.569	0.588	-0.631	0.331	0.135	0.64	-0.799	-0.256	0.223	-0.252	-0.461	-0.189	0.635	-0.009	-0.315	-0.59	-0.162	-0.001	0.442	-0.172	-0.703	0.444	-0.78	-0.13	-0.445	-0.278	-0.187	-0.443	0.183	0	-0.064	0.152	0.294	0.477	0.27	0.277	-0.171	-0.056	-0.267	0.383	-0.033	-0.284
S115	1.559	-0.728	0.287	0.358	0.769	0.83	-0.358	0.068	-0.224	-0.716	0.651	-0.779	-0.113	0.768	0.631	0.05	0.346	-0.492	-0.155	-0.412	0.5	0.881	0.494	-0.221	0.254	-0.194	-0.974	-0.305	0.417	-0.113	-0.267	0.045	-0.357	0.336	0.306	-0.209	0.194	-0.343	0.046	0.054	-0.479	-0.152	-0.304	0.734	-0.051	-0.032	-0.768	-0.005	-0.093	0.039
S71	1.799	-1.2	-1.593	0.176	-0.484	-0.019	-0.809	-0.174	-0.018	-0.169	0.1	0.256	-0.565	-0.57	0.444	0.055	0.023	-0.461	0.269	0.463	0.451	0.259	0.068	0.251	-0.256	0.139	0.39	0.226	-0.014	0.291	-0.339	0.168	0.154	0.095	0.165	0.048	0.174	-0.367	-0.03	0.251	0.095	-0.037	0.517	-0.12	-0.408	-0.171	-0.375	0.099	-0.041	-0.112
S199	1.6	-0.543	0.372	0.211	0.263	-0.612	-0.186	0.377	-0.14	0.247	-0.187	0.518	0.274	-0.583	-0.124	0.099	0.227	-0.194	-0.05	-0.631	0.115	0.225	-0.149	0.292	-0.476	0.025	-0.646	0.171	0.056	0.28	0.452	-0.155	-0.194	0.572	0.164	-0.164	0.337	0.434	-0.73	-0.255	0.259	0.423	-0.435	-0.238	-0.552	-0.423	-0.204	0.036	0.492	-0.073
S50	1.741	-0.677	0.581	-0.234	-0.2	-0.185	0.305	0.688	-0.103	-0.216	-0.294	-0.136	-0.121	0.244	0.155	0.313	-0.545	-0.217	-0.052	0.499	0.081	0.152	0.028	-0.184	-0.464	0.206	-0.096	0.143	-0.112	-0.352	0.144	0.722	-0.346	-0.14	-0.335	-0.364	-0.139	0.214	0.322	-0.252	-0.306	0.43	0.638	-0.418	0.071	0.333	-0.224	0.464	0.191	0.095
S213	-0.116	1.293	-1.203	-0.32	0.317	-1.019	-0.102	0.465	-0.384	-0.202	-0.079	-0.137	0.197	-0.077	-0.476	-0.429	0.084	-0.393	0.109	0.5	0.013	-0.058	-0.309	-0.427	0.536	0.503	-0.033	0.189	0.049	0.078	-0.134	0.133	0.004	0.143	-0.178	-0.207	-0.19	0.309	0.009	0.03	-0.422	0.52	0.345	0.003	0.125	-0.242	-0.073	0.014	0.052	0.134
S15	-2.875	0.215	0.247	0.603	-1.03	-0.299	-0.457	-0.15	-0.352	0.105	-0.672	-0.25	0.406	0.838	0.213	-0.512	0.107	0.053	0.212	-0.538	0.394	-0.182	0.288	0.279	0.203	-0.366	-0.276	0.228	0.016	0.163	-0.1	0.194	-0.324	-0.231	0.169	0.128	-0.25	-0.09	-0.555	0.309	-0.571	-0.445	-0.003	-0.651	0.526	-0.308	0.11	0.313	-0.047	0.732
S177	1.363	0.184	0.639	-0.066	0.682	0.618	-0.595	-0.363	-0.574	0.413	-0.174	0.191	-0.021	0.342	0.286	-0.343	0.368	-0.361	-0.284	-0.092	-0.198	0.029	0.153	0.211	-0.271	0.612	-0.017	-0.134	0.445	0.24	0.017	0.104	0.011	0.044	-0.259	0.997	0.708	-0.01	0.384	-0.6	0.033	0.11	-0.082	-0.255	-0.061	-0.627	-0.025	0.375	-0.076	-0.327
