	S136	S36	S17	S115	S71	S199	S50	S213	S15	S177	S207	S6	S61	S152	S127	S96	S93	S123	S157	S124	S212	S148	S156	S33	S26	S18	S22	S37	S137	S183	S186	S179	S73	S84	S29	S192	S28	S40	S113	S57	S24	S146	S89	S112	S87	S106	S154	S85	S134	S54	S117	S173	S160	S8	S88	S165	S126	S168	S200	S141	S62	S109	S4	S158	S91	S39	S94	S215	S121	S80	S203	S67	S122	S12	S149	S217	S38	S120	S171	S99	S105	S153	S187	S214
S142	0.500712789436	0.551832459019	0.653176551462	0.5191348494210001	0.48826014058600004	0.475354565664	0.458733058668	0.5166979347249999	0.657769449115	0.49289103291599995	0.467547167667	0.609302620504	0.491821294693	0.5459786052269999	0.451836451616	0.470462153613	0.553884112521	0.570629418334	0.794647781512	0.468201045498	0.5437538229550001	0.52901994269	0.822149409156	0.547202256316	0.728420569059	0.681069835471	0.715336201883	0.741877825492	0.5154849993949999	0.491949897443	0.536842188618	0.5061219849499999	0.48503067547300005	0.491211386192	0.7057367108920001	0.490361248926	0.55720673673	0.539659130653	0.468563071911	0.473105759169	0.610985214313	0.46534506525499997	0.527285714417	0.6725904462510001	0.547961722378	0.612859674294	0.6522212796769999	0.528363817763	0.524862016222	0.523559835937	0.47503604571400004	0.6500348035869999	0.49734463302500004	0.646941958389	0.529180823099	0.48704823548500004	0.5178137655439999	0.454838761912	0.44679123834299994	0.429324486871	0.49307762902400004	0.593011623848	0.547099062975	0.574847039551	0.528813230161	0.615009915602	0.481992348792	0.483655561783	0.549454802646	0.465389619129	0.493204164331	0.505622764736	0.46631391848700005	0.692682665539	0.524768660563	0.509883620436	0.565970789029	0.501973223918	0.508654533899	0.534279127252	0.46657399758900003	0.565458329158	0.513444379759	0.52073414592
S118	0.545552350991	0.54240943273	0.638225609905	0.513833241149	0.519862726502	0.450364100242	0.44044308987499997	0.527511961658	0.661022951897	0.471502179412	0.444422033164	0.619152131187	0.525834253929	0.5394796320390001	0.478091515419	0.462645066297	0.560733316866	0.611775297465	0.8050767615209999	0.443302298785	0.53147976945	0.530985660544	0.8355025006229999	0.5277950556600001	0.738731296967	0.685441279055	0.719200228813	0.756617372351	0.528392213763	0.500913676139	0.500213150408	0.504843303339	0.49328779442000004	0.463257993195	0.708155776249	0.46784253130599995	0.584131878186	0.531722831418	0.455870716214	0.454324638675	0.6037199555439999	0.417836706747	0.494802453403	0.6801379614219999	0.5363253536479999	0.611383536545	0.6425448536289999	0.5165560344160001	0.558734551072	0.507012342968	0.47566956024499996	0.657138196084	0.502171612056	0.653168818958	0.516777507889	0.48718320208000004	0.468973189176	0.45478226003	0.40519287622100003	0.43049179563600004	0.528023539772	0.597501028689	0.5449253960189999	0.546713586816	0.522298688863	0.608175413103	0.490630035391	0.475119037157	0.579776395097	0.513487830868	0.469112961698	0.552240833021	0.486569740925	0.697200756727	0.508037181344	0.5039152785459999	0.5577462565110001	0.468312860255	0.47297232206999995	0.519763331435	0.463398830479	0.5653095974769999	0.510077288801	0.52153527465
S138	0.468989274731	0.577948247136	0.666921489236	0.521030871773	0.478655543055	0.476945979508	0.491734149141	0.518158192208	0.6830497077619999	0.503623457539	0.500858986115	0.635050224812	0.47427307905500005	0.553108455901	0.47828954186300005	0.503080270715	0.5684714918429999	0.577960944565	0.812328554217	0.509211588271	0.529643126461	0.561100473221	0.8433382588609999	0.5463673203639999	0.759112927833	0.7104753922399999	0.73495657882	0.769791660812	0.473046868632	0.498423619877	0.539065597667	0.5111974295939999	0.427941167677	0.520942508693	0.73604695235	0.522136489706	0.5964246719699999	0.5718213757549999	0.488817958341	0.501640353119	0.619948146703	0.468229705312	0.544055718951	0.706394582518	0.564129978757	0.64308470827	0.679054266531	0.55363667694	0.521977400547	0.538810589407	0.504214649783	0.667327107087	0.525827886234	0.671122143635	0.551553362652	0.508473768247	0.532594638332	0.5083299507819999	0.49095619927100004	0.511157301522	0.47538564676399997	0.635155147431	0.586924100381	0.579415002189	0.5603898104689999	0.6403425873349999	0.511035043443	0.48008952206200006	0.560497631554	0.459930177785	0.53244628282	0.5072398996899999	0.524041881835	0.73250415595	0.53263751136	0.510318135383	0.609246160276	0.536859735681	0.545358032574	0.551440700001	0.507035964105	0.575182084719	0.538021553319	0.526289301794
S143	0.514244862548	0.509944475676	0.657082102087	0.454309534599	0.49755626573399997	0.43042502252899995	0.435357989393	0.576194709607	0.688654865334	0.456022170744	0.41498866203699997	0.6684926523520001	0.49386084514600004	0.59299954338	0.518625214222	0.507120868873	0.571345863249	0.575892954174	0.799291464841	0.426726160402	0.594970865317	0.6070390308560001	0.824187395063	0.514403423541	0.730360612198	0.6937235958	0.717714707573	0.760966300754	0.519324097738	0.44343923129199997	0.457564406505	0.46929282912000003	0.508502359687	0.479201275365	0.713569702348	0.443020646355	0.601727411432	0.587791423459	0.521943762083	0.450724138886	0.622957438113	0.45715723948700004	0.46871799393200003	0.687380586103	0.43144881673999996	0.615805595028	0.6673952049549999	0.446111390193	0.541068700251	0.523051073333	0.530940871793	0.633913649161	0.545846731685	0.662103986887	0.44281747046000003	0.540114354992	0.412250296673	0.49131134892800005	0.462744430912	0.500903381129	0.51843292372	0.612289099653	0.600517580555	0.584511289328	0.5455846729630001	0.6343505166100001	0.516596244296	0.54962443767	0.555087745404	0.504780762992	0.453114370955	0.5154537590730001	0.5547306122169999	0.699175835592	0.569223755969	0.549027728115	0.58120632632	0.422644666775	0.4843956656	0.560412584479	0.511975064014	0.604964717095	0.534902856596	0.577921965739
S131	0.475846372293	0.594525951491	0.649325814516	0.561046099128	0.496738996517	0.527815585955	0.553980710614	0.534974952933	0.673561062376	0.56527292053	0.576159884571	0.613952141717	0.497719945888	0.608110908823	0.52410707937	0.572590620658	0.5726278785360001	0.453297636224	0.792633354041	0.565366087539	0.567637492388	0.589166571211	0.8192013339190001	0.574831900982	0.725380505896	0.6835755011110001	0.71849453882	0.739739358126	0.518582015498	0.534978459567	0.570441086386	0.5116896931139999	0.493753086034	0.5952517203559999	0.707654733242	0.553537899589	0.565929332912	0.602149181474	0.572487003708	0.565095711013	0.63487068127	0.5629744692750001	0.623987599506	0.677723949964	0.596209072995	0.6194699720260001	0.673009134484	0.605102444132	0.410747632902	0.607944640889	0.542072689314	0.619070233447	0.574347223089	0.6390123500630001	0.605604926854	0.569091143237	0.595123835165	0.5613505541889999	0.561245984523	0.577679932684	0.456910529616	0.625922196056	0.587084590202	0.618682428978	0.578088403371	0.644555883641	0.529107115927	0.563939149846	0.45669848807700003	0.45239082994400004	0.5777608787080001	0.513903050789	0.554010433274	0.6938972415000001	0.599205360088	0.56755270852	0.60865273655	0.585730671761	0.587058997487	0.577079960491	0.567173887427	0.607107557279	0.541944524702	0.546407027855
S14	0.731720259562	0.677484451452	0.456018782518	0.7176417426360001	0.7247449822600001	0.6929386725810001	0.703997577129	0.6225122035849999	0.45237147276600004	0.690063676645	0.709596925497	0.5245917215479999	0.710427775574	0.620654523323	0.681959819719	0.68765615478	0.577806343969	0.690275558531	0.58422378101	0.701817540213	0.620428064932	0.595221523059	0.661142139714	0.6279248633160001	0.48424179218	0.463511162836	0.491903620652	0.506358508465	0.733654968872	0.71690010883	0.665900461627	0.6509208016520001	0.697693784704	0.709553373799	0.47375384374300006	0.674797252893	0.556313166266	0.606273387924	0.672737574875	0.712107733686	0.532916724457	0.6772095196340001	0.720975069288	0.468639140241	0.7193553570990001	0.498567893144	0.482747980119	0.730567580588	0.652898825079	0.729337682575	0.662554926704	0.506184107489	0.6590970444740001	0.4666824366	0.7196786911499999	0.6810803326899999	0.715145655757	0.674519831653	0.691978625935	0.692507792895	0.707984893626	0.542642616254	0.56945998367	0.6038439909300001	0.599876195482	0.49290832922300004	0.697976893056	0.67702464635	0.663247684605	0.685962337687	0.717284916778	0.7261980569259999	0.676547740957	0.49854439805600004	0.676073337959	0.637563325505	0.566937248441	0.7314381091809999	0.655117369934	0.616547756715	0.686477325502	0.5548437077480001	0.617424475224	0.629309094291
S78	0.52275743275	0.588734888641	0.64423166054	0.569400195189	0.499700487948	0.527641472427	0.5548517382320001	0.527862329605	0.650698290482	0.560919341685	0.567486530913	0.600503861104	0.496387161941	0.596136361708	0.52573741748	0.570272268957	0.564517334617	0.455230895018	0.761916236836	0.568213648116	0.563673967143	0.569824774736	0.7989535898160001	0.573144409438	0.697224982374	0.665484421564	0.692943519903	0.723505585369	0.5315113362389999	0.5485866244259999	0.558072407599	0.513480847047	0.49528738832099994	0.5947503314370001	0.6823852995540001	0.5417465792580001	0.550858287509	0.5780038029810001	0.567291541329	0.561389778349	0.624244066058	0.5580719117790001	0.6159968845139999	0.65687942038	0.602916209639	0.608227551241	0.650032530168	0.605158951867	0.43405388646000004	0.603191179352	0.5303774135270001	0.606453449876	0.5672947488319999	0.618168047839	0.603255714953	0.5766313437430001	0.590063842799	0.55092677566	0.556368760258	0.56493362075	0.459438378121	0.612469324998	0.569485264222	0.6017863861389999	0.562560564174	0.6238002744009999	0.534990297842	0.563505042606	0.46351360388400004	0.422410788279	0.571399315404	0.51580453317	0.552689644456	0.677316141169	0.598700719784	0.552890653938	0.586917025885	0.592948752438	0.573636547481	0.582252475265	0.5605581043760001	0.587085960457	0.527328481635	0.539772892842
S63	0.428764975711	0.599698318751	0.698819914286	0.523484890654	0.397701256038	0.50550847052	0.504354817336	0.553370836316	0.713147135503	0.5339150597919999	0.531912884629	0.657257405559	0.418509816199	0.607033499661	0.494512933376	0.532841551324	0.6056611809979999	0.553216681146	0.811052289821	0.5358979380650001	0.5792893584250001	0.605465236117	0.832024152216	0.5996183444100001	0.7604970778550001	0.719753348708	0.742838023328	0.771140329508	0.466193290241	0.48298485562700005	0.579242102228	0.536563928518	0.42630900342100003	0.551911308308	0.738508033863	0.546549127257	0.609742582377	0.617232211718	0.5343526498619999	0.522090213518	0.66335673897	0.517987648323	0.581126620343	0.7236907093709999	0.551082961571	0.674754878262	0.706435457823	0.572024766626	0.527021487483	0.554354473901	0.540415317864	0.677265747341	0.570127952712	0.6892292907619999	0.557657923006	0.5625479097630001	0.560031833284	0.54082435582	0.52997876273	0.539862478324	0.415144780251	0.661849246171	0.6275431184929999	0.633861134175	0.595533484049	0.676031477501	0.500826060827	0.540183429346	0.556541220427	0.4259739443	0.535238608243	0.39891027042800004	0.529329177448	0.733930525587	0.588606986757	0.563841978443	0.643380876746	0.546058574859	0.5891352229300001	0.606019527187	0.528824689547	0.628496073941	0.572667591127	0.562628296114
S3	0.6987135721250001	0.627091486048	0.498722977604	0.682207770898	0.693003516487	0.6570456329259999	0.661517422169	0.566006361964	0.452319402723	0.640319669621	0.66413444733	0.463761140119	0.685972478873	0.556875657573	0.634942883988	0.6374620776259999	0.51878622338	0.645095519137	0.693319740095	0.6460211763329999	0.578775711825	0.529493858602	0.743311710441	0.584590237512	0.584063395951	0.524721840315	0.552474416072	0.5926323557450001	0.7056959189	0.686272340035	0.627790312745	0.6097494647899999	0.662711471316	0.65529287922	0.532433984234	0.635059816601	0.497388091422	0.5317052387619999	0.619895525856	0.66014349893	0.509357703913	0.635054691009	0.6750078798810001	0.493649664524	0.691958543265	0.480449884007	0.481150816885	0.6900015964499999	0.615689860675	0.66552191063	0.594375184853	0.554768401854	0.605729949973	0.46728945019900003	0.688258267511	0.628181399911	0.669012393881	0.609837558906	0.637629719618	0.628298665171	0.674929716083	0.48779670015199994	0.477703104815	0.5446232433899999	0.542680158815	0.4414501639	0.647907409785	0.611581491429	0.6162067880300001	0.6475931418699999	0.6744166130660001	0.707166913553	0.608768837684	0.548761055127	0.628452896386	0.578757137536	0.496011203102	0.693172046787	0.597504046341	0.562757011702	0.631291753358	0.513980749905	0.563459400798	0.574497531532
S79	0.53629741537	0.577650059708	0.615552645682	0.55822047669	0.529632148198	0.540657403193	0.5570296773610001	0.517994771426	0.624291605136	0.5581855819039999	0.5725287806930001	0.580280012292	0.5270152933510001	0.598602932816	0.539629742327	0.571756305606	0.534471080677	0.453468658976	0.762275104686	0.555725887592	0.551630698117	0.554345302581	0.797093975578	0.551680037061	0.68451626829	0.644804768623	0.683667652686	0.704236706863	0.567284182517	0.551815497641	0.5519257369389999	0.503271958819	0.513359275186	0.589742675116	0.666555007927	0.547337711955	0.522124605507	0.559386056453	0.5654504246809999	0.565127959797	0.59952098916	0.556670823482	0.612559574718	0.6413096378850001	0.600919420382	0.5819728965290001	0.625130063721	0.602087593816	0.419153836998	0.596037272731	0.540286549917	0.5812581023669999	0.562140153887	0.5859596690550001	0.600444799325	0.571491618724	0.590045499014	0.5588149948800001	0.54813119817	0.561386876657	0.49854889672799996	0.585078094177	0.5502908721859999	0.587072131619	0.5492443511680001	0.607273703371	0.531149499241	0.566671648182	0.440526495041	0.46034883407300003	0.575198021431	0.537349516748	0.544664070728	0.654255057878	0.599408078032	0.552084372125	0.561486340384	0.589106390516	0.562051897973	0.558665504327	0.567935212703	0.579169332831	0.504559947197	0.530788511089
