PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
S142	1.334	-0.027	-0.411	-0.319	-0.568	0.15	0.465	0.23	-0.112	-0.077	-0.321	-0.066	-0.107	-0.189	-0.052	0.013	-0.011	0.115	0.189	0.056	-0.128	0.04	0.063	0.007	-0.005	-0.04	-0.129	-0.01	0.11	-0.083	-0.009	0.061	0.005	0.075	0.118	0.03	0.097	-0.033	-0.081	-0.004	-0.098	-0.043	0.111	-0.103	-0.034	0.064	0.045	0.16	-0.033	-0.07
S118	1.425	0.211	0.419	-0.565	-0.388	0.056	0.236	0.372	-0.274	0.111	-0.482	0.105	0.253	-0.037	-0.157	0.089	0.017	-0.01	0.097	-0.042	-0.176	0.079	0.184	-0.015	-0.18	-0.144	-0.06	-0.035	-0.06	-0.004	0.039	0.026	-0.114	-0.025	0.125	-0.098	0.071	-0.036	-0.099	-0.029	-0.055	0.034	0.064	0.032	-0.139	-0.014	0.144	-0.12	-0.026	-0.1
S138	1.541	-0.06	-0.95	-0.219	-0.294	-0.201	-0.458	-0.026	-0.12	0.173	-0.187	-0.053	0.518	0.068	0.011	0.101	-0.005	0.241	-0.075	-0.124	-0.085	-0.042	0.071	-0.082	0.089	0.161	-0.207	-0.154	0.043	-0.102	0.08	0.002	-0.1	0.137	0.004	-0.08	0.167	0.062	0.054	0.121	0.196	0.124	-0.058	0.032	0.059	-0.012	0.035	0.036	-0.116	0.078
S143	1.651	-0.953	0.795	0.234	0.612	-0.081	-0.389	0.267	-0.044	-0.194	0.009	-0.01	0.002	-0.007	-0.009	0.126	-0.046	0.008	0.133	0.024	-0.038	0.03	0.134	0.105	0.037	0.034	-0.011	0.096	-0.005	0.095	0.12	-0.046	0.136	-0.08	-0.068	-0.061	-0.027	-0.045	0.02	-0.03	-0.002	0.026	-0.089	-0.022	-0.007	-0.066	0.056	0.124	-0.084	-0.053
S131	0.804	-0.617	-1.844	1.107	0.336	-0.305	0.36	-0.067	0.02	0.431	0.06	-0.055	0.064	0.092	-0.011	-0.05	-0.014	0.091	-0.01	-0.023	-0.14	-0.079	0.008	-0.104	-0.149	-0.176	-0.047	-0.069	-0.11	-0.039	0.04	-0.029	0.079	0.05	0.002	-0.086	0.212	0.065	0.03	0.054	0.127	0.106	-0.118	0.062	0.1	-0.007	-0.01	0.06	0.042	-0.011
S14	-3.13	-0.598	-0.08	0.276	-0.474	0.075	-0.369	0.052	-0.08	0.171	-0.15	-0.095	0.154	0.211	-0.273	-0.186	0.102	0.056	0.012	-0.112	0.25	0.022	0.036	-0.148	-0.035	0.015	0.019	0.01	-0.119	-0.106	-0.039	0.058	-0.048	-0.087	-0.118	-0.03	-0.062	0.032	-0.243	0.084	0.033	0.089	-0.045	-0.025	-0.106	-0.049	0.084	0.139	-0.076	0.045
S78	0.536	-0.582	-1.702	0.931	0.317	-0.386	0.425	-0.1	-0.107	0.415	-0.132	0.162	-0.062	-0.23	0.072	-0.148	0.054	0.048	0.071	-0.237	-0.074	0.004	0.103	0.191	-0.027	-0.009	0.045	0.032	-0.129	-0.058	-0.08	0.025	0.115	-0.005	0.176	0.135	-0.048	-0.079	0.214	0.065	-0.163	0.027	-0.124	0.001	0.165	0.111	-0.021	-0.046	0.104	-0.014
S63	1.687	-0.978	-1.659	0.062	-0.516	-0.026	-0.651	-0.131	-0.134	-0.216	-0.046	0.027	-0.126	-0.234	0.17	0.114	-0.181	-0.006	0.103	0.113	0.205	0.068	0.154	-0.01	-0.001	0.081	-0.034	-0.069	0.087	0.075	-0.136	0.018	0.104	-0.147	0.049	-0.07	-0.062	-0.216	0.025	-0.008	0.135	-0.023	0.023	-0.132	0.012	-0.051	0.008	-0.068	0.059	-0.054
S3	-2.249	0.526	0.062	0.705	-0.852	-0.276	0.347	-0.173	-0.136	-0.177	-0.085	0.037	0.039	0.403	0.085	0.027	0.074	-0.11	-0.038	-0.072	0.091	0.029	-0.142	0.09	-0.107	0.083	-0.034	0.144	0.033	-0.01	-0.027	-0.065	0.162	-0.137	0.003	0.174	0.081	0.008	-0.225	0.053	-0.088	-0.071	-0.003	-0.127	0.157	-0.143	0.087	-0.118	-0.198	0.075
S79	0.251	-0.382	-1.377	1.221	0.403	-0.413	0.697	-0.135	-0.221	0.313	-0.078	-0.157	-0.001	-0.069	0.098	-0.186	0.077	-0.006	-0.045	-0.098	-0.058	0.16	0.195	-0.097	-0.069	-0.185	0.122	0.023	-0.035	-0.126	0.044	0.071	0.071	-0.004	0.07	-0.042	-0.033	-0.047	0.161	0	-0.107	0	-0.036	0.029	0.18	0.127	0.119	-0.046	0.107	-0.03
